file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,baseline_rate_hz,n_epochs_per_size,pre_time_ms,spikes_pre_mean,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,22.3333333333333,1.47196014438797,0.666666666666667,0.408248290463863,82,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0.333333333333333,19.6666666666667,0.408248290463863,1,0.707106781186547,115,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,26.3333333333333,2.16024689946929,1.66666666666667,0.408248290463863,160,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,34,1.22474487139159,1.66666666666667,0.408248290463863,224,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,35.6666666666667,2.94392028877595,1.66666666666667,0.816496580927726,314,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,19.3333333333333,3.55902608401044,0,0,439,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,8,0.707106781186547,0,0,614,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0.333333333333333,3.66666666666667,0.408248290463863,0,0,858,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,2,0.707106781186547,0,0,1200,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,2.66666666666667,1.47196014438797,0,0,30,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,4,2.44948974278318,0,0,42,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,8.66666666666667,2.16024689946929,0,0,59,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,16.3333333333333,1.77951304200522,0.333333333333333,0.408248290463863,82,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,30,3.67423461417477,0.333333333333333,0.408248290463863,115,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,54.3333333333333,2.27303028283098,1,0.707106781186547,160,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,84.3333333333333,3.89444048184931,4.33333333333333,0.408248290463863,224,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,103,0.707106781186547,4.66666666666667,0.408248290463863,314,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,104.666666666667,1.47196014438797,5,0,439,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0.333333333333333,100.666666666667,3.2659863237109,4.33333333333333,0.408248290463863,614,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,91.3333333333333,3.55902608401044,4.66666666666667,0.408248290463863,858,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,7,SpotsMultiSize_Cell_attached_Current_clamp,8,10987,1,4273,Left,0.0555556,3,500,0,92.3333333333333,3.89444048184931,3.66666666666667,0.408248290463863,1200,1000,1000,012926Ac9,ON alpha,ventral down,chow,9,-903,454,DT
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,1.66666666666667,0.408248290463863,0,0,30,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,1.66666666666667,0.408248290463863,0,0,42,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,9.33333333333333,2.67706306736817,0,0,59,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,13.6666666666667,2.27303028283098,0,0,82,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,26,3.24037034920393,1,0.707106781186547,115,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,36.6666666666667,2.04124145231931,1.66666666666667,1.47196014438797,160,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,46,0.707106781186547,1.33333333333333,0.816496580927726,224,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,42.6666666666667,1.08012344973464,1,0.707106781186547,314,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,31.6666666666667,1.47196014438797,2,0,439,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
012926A,8,SpotsMultiSize_Cell_attached_Current_clamp,9,10980,1,4273,Left,0,3,500,0,18,0.707106781186547,1,0.707106781186547,614,1000,1000,012926Ac2,ON DS sustained - ventral,ventral down,chow,2,835,16,DN
