file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-28.7128346491141,15.7952781857554,33.0938463607898,11.2827598177461,-308.996,-60,-341.537139431043,3,-253.054402853281,31.8781222605151,-183.068163649074,60.9364697836249,500,50000,30,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-54.3662291301681,2.87234547950235,9.73729194841227,0.943303513831198,-308.996,-60,-353.88133965948,3,-278.195743484712,34.7911546151237,-223.881259409839,9.37230515878421,500,50000,42,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-87.6952689253628,16.9405591088276,26.5447207217724,14.1295815877108,-308.996,-60,-304.611895505197,3,-304.402070764987,25.5153997735772,-205.755807824581,36.4065250167469,500,50000,59,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-122.244327857842,6.38382274347286,41.0069728035081,14.5366018925626,-308.996,-60,-271.872945295569,3,-405.190616213088,17.3838862628916,-257.382212682533,47.985553970778,500,50000,82,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-175.669463180102,15.2093696258608,49.1946053596925,10.4393533069604,-308.996,-60,-257.274594500255,3,-510.888646771442,50.3014725737931,-268.620237760164,55.9421124202081,500,50000,115,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-251.413493151153,7.35241262449734,62.6992436009396,7.59985208723566,-308.996,-60,-307.939461067374,3,-723.659293551573,8.86415428432681,-420.85051458117,76.8097270307631,500,50000,160,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-374.877486673592,43.4088981346799,76.0505356717159,7.98894310133796,-308.996,-60,-321.893768020492,3,-1063.27743150742,98.4083494707254,-458.088958104811,33.0151496347531,500,50000,224,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-430.538877154688,7.76749350958246,86.8041293488048,12.2246743421094,-308.996,-60,-328.441566046519,3,-1640.79124967229,309.875489454959,-495.462223847204,20.5200528901799,500,50000,314,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-406.45324412299,13.3025741671734,91.5142471709203,10.7281312151658,-308.996,-60,-321.249722645735,3,-1336.45706984027,87.5885244372218,-543.743672346554,53.7399703757042,500,50000,439,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-395.120323763989,26.5829265490411,105.464317630908,5.59265221190617,-308.996,-60,-317.385457070991,3,-1310.92618390743,45.9318380252707,-488.908730583365,13.6625799142593,500,50000,614,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-394.519078163521,7.9516420593497,96.2730267934384,13.4165177389701,-308.996,-60,-353.23729334828,3,-1216.65647243185,97.7647289332202,-507.454470094297,17.199136101685,500,50000,858,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,5,SpotsMultiSize_Whole_cell_Current_clamp_Exc,10,11092,1,4277,Left,-383.261580052414,14.6464090173259,99.7777139204345,18.2880593096726,-308.996,-60,-281.426278021754,3,-1481.9169578597,225.119163047957,-503.074071464059,17.3118643546719,500,50000,1200,1000,1000,021026Ac20,ON alpha,ventral down,HFD,20,-1788,-255,VT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-140.340859911664,10.1123106458434,9.15555879323891,10.9398179293221,-140.578,-60,-113.652609922298,3,-412.249174700789,11.691872256192,-291.168681030816,12.054221829792,500,50000,30,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-181.056905766338,16.554655932281,13.9420454339138,15.4169277325609,-140.578,-60,-113.652606707545,3,-467.022394680562,40.1180202661892,-246.758952611068,13.0314315110962,500,50000,42,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-269.210399735661,9.26624616529773,-8.6186929280554,4.16283634499569,-140.578,-60,-139.307055032193,3,-581.122921067522,27.2873454568878,-427.947476152468,36.4720623709343,500,50000,59,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-342.454271337152,36.3005932488964,5.06701133212618,28.079915366085,-140.578,-60,-111.398452098952,3,-678.723923063486,61.0543073812052,-437.958280631973,51.2152217047031,500,50000,82,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-480.087277039048,2.79645785881606,-2.91103393918217,0.253986738101233,-140.578,-60,-176.876334365533,3,-887.473018514625,17.6108628716856,-589.387234024986,40.3355338333812,500,50000,115,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
021026A,6,SpotsMultiSize_Whole_cell_Current_clamp_Exc,14,11094,1,4277,Left,-629.002816417957,4.91217845233494,-17.275364490429,19.376839661013,-140.578,-60,-116.228786605195,3,-1144.42617018662,41.8929807637084,-729.016580684649,51.2014003385397,500,50000,160,1000,1000,021026Ac3,ON alpha,ventral down,HFD,3,-600,580,DT
