inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
167.0,86.66666666666667,2.943920288775949,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
224.0,85.33333333333333,20.46134567096374,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
300.0,92.66666666666667,26.16613587572048,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-500.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-360.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-259.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-186.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-134.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-97.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-69.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-50.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-36.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-26.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-19.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-13.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-10.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-7.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-5.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
